id,hour,sem,grade,comp,name,lec,cr
63,月4,前,1,y,線形代数1及び演習(講義),佐藤(圭),K101
63,火1,前,1,n,物理学1,幸村,K405
63,火3,前,1,y,線形代数1及び演習(演習)1組,佐藤(圭)・神澤,K701
63,火3,前,1,y,線形代数1及び演習(演習)2組,宮本・木原,K702
63,水1,前,1,y,解析学1及び演習(演習)1組,野口・藤澤,K204
63,水1,前,1,y,解析学1及び演習(演習)2組,明石・神澤,K205
63,水345,前,1,n,化学実験,中山・寺島・相見,3号館2階化学実験室2
63,月2,前,2,y,確率論1及び演習(講義),田畑,K606
63,月3,前,2,n,計算機概論武田(正),K102
63,月4,前,2,n,情報理論及び演習(演習)1組,渡邉(昇)・神澤,K402
63,月4,前,2,n,情報理論及び演習(演習)2組,田畑・木原,K406
63,火5,前,2,y,確率論1及び演習(演習)1組,田畑・石井・藤澤,K504
63,火5,前,2,y,確率論1及び演習(演習)2組,入山・中川,K505
63,水34,前,2,y,情報科学実験1,滝本・大村・多賀・澤田,611T
63,月2,前,3,n,情報構造,大村,K702
63,月3,前,3,n,応用情報科学,明石,K704
63,月4,前,3,n,論理数学1,桂田,K506
63,月5,前,3,n,情報通信ネットワーク,松澤,"6-2F IS計算室"
63,火1,前,3,n,統計学2及び演習(講義),安藤,K102
63,火3,前,3,n,複雑さの理論,入山,K506
63,水1,前,3,n,コンパイラ,滝本,K703
63,水2,前,3,y,情報科学コロキューム1,IS科全教員,K605
63,水3,前,3,n,統計学2及び演習(演習),1組安藤・中川,K605
63,水3,前,3,n,統計学2及び演習(演習),2組佐藤(圭)・藤澤,K606
63,水45,前,3,y,情報科学演習2,松澤・滝本・多賀ほか,611T
63,火5,前,4,y,情報科学コロキューム2,IS科全教員,
63,水5,前,4,y,情報科学コロキューム2,IS科全教員,
63,月2,前,5,y,人工知能特論,桂田,"6-2F 大学院ゼミ室"
63,水2,前,5,y,言語処理系特論,滝本,"6-2F 大学院ゼミ室"
63,水4,前,5,y,数理統計学特論,安藤,K403
63,月4,後,1,y,線形代数2及び演習(講義),佐藤(圭),K101
63,月5,後,1,y,情報数学1B及び演習(演習)1組,安藤・中川,K205
63,月5,後,1,y,情報数学1B及び演習(演習)2組,宮本・藤澤,K206
63,火1,後,1,n,物理学2,岡崎,K505
63,火3,後,1,y,線形代数2及び演習(演習)1組,佐藤(圭)・神澤,K701
63,火3,後,1,y,線形代数2及び演習(演習)2組,入山・木原,K702
63,水1,後,1,y,解析学2及び演習(演習)1組,明石・木原,K204
63,水1,後,1,y,解析学2及び演習(演習)2組,野口・神澤,K205
63,水3,後,1,n,化学,小沢(幸),K503
63,月2,後,2,n,確率論2及び演習(演習)1組,安藤・藤澤,K603
63,月2,後,2,n,確率論2及び演習(演習)2組,明石・中川,K606
63,月3,後,2,y,情報数学2－A及び演習(講義),入山,K405
63,月4,後,2,n,プログラム言語1,武田(正),K604
63,火1,後,2,n,統計学1及び演習(講義),田畑,K203
63,火5,後,2,n,確率論2及び演習(講義),小林,K103
63,水34,後,2,y,情報科学演習1,桂田・多賀・澤田,611T
63,月1,後,3,n,データベースシステム,松澤,IS計算機室
63,月2,後,3,y,情報科学実験3,,
63,月3,後,3,n,オートマトン,榎本(進),K701
63,月4,後,3,n,計算の理論1,入山,K502
63,月5,後,3,n,データ解析,大村,K504
63,火3,後,3,y,情報科学実験3,,
63,水1,後,3,y,情報科学演習3,,
63,水2,後,3,n,人工知能,桂田,K501
63,水3,後,3,y,情報科学実験3,,
63,水45,後,3,y,情報科学実験2,桂田・滝本・松澤ほか,612T
63,火4,後,4,y,情報科学コロキューム2,IS科全教員,
63,水5,後,4,y,情報科学コロキューム2,IS科全教員,
63,月2,後,5,n,カテゴリカルデータ解析特論,田畑,6-2F大学院ゼミ室
63,月4,後,5,n,組合せ論特論,宮本(暢),6-2F大学院ゼミ室
63,水3,後,5,n,アルゴリズム特論,入山,7402
63,木12,前,1,n,物理学実験A,國分・作田・伊藤(博),445
63,木3,前,1,y,解析学1及び演習(講義),野口,K604
63,木5,前,1,y,(通)計算機科学入門及び演習,桂田・多賀・澤田,611T・231T
63,金2,前,1,y,情報数学1A及び演習(演習)1組,渡邉・木原,K403
63,金2,前,1,y,情報数学1A及び演習(演習)2組,野口・藤澤,K404
63,金5,前,1,y,情報数学1A及び演習(講義),渡邉(昇),K101
63,木2,前,2,n,離散数学,宮本(暢),K401
63,木4,前,2,n,情報理論及び演習(講義),渡邉(昇),K504
63,金34,前,2,y,情報科学実験1,滝本・大村・多賀・澤田,611T
63,金5,前,2,n,プログラム言語2,滝本,K604
63,木1,前,3,n,多変量解析,田畑,K301
63,木2,前,3,n,生命情報学,佐藤(圭),K703
63,木3,前,2,n,情報数学2－B及び演習(講義),宮本(暢),K301
63,木4,前,2,n,情報数学2－B及び演習(演習),宮本(暢)・石井・木原・中川,K301
63,木5,前,3,n,応用数学,戸川,K103
