id,hour,sem,grade,comp,name,lec,cr
62,月1,前,1,y,コンピュータリテラシー,須田,231T・232T・233T
62,月3,前,1,n,物理学特別講義1-A,PH科全教員,444
62,月4,前,1,y,力学A,石塚,445
62,月5,前,1,y,力学演習A,石塚・金井・澤渡ほか,K206・K207・K408・K409・K509
62,火1,前,1,n,電磁気学入門,鈴木(英),K505
62,火3,前,1,y,線形代数1,福元,444
62,火4,前,1,y,基礎数学演習,福元・澤渡・佐藤(友)ほか,K205・K206・K207・K409・K410
62,水1,前,1,n,化学A,北村(尚),K401
62,水1,前,1,y,微分積分学,澤渡,445
62,月2,前,2,y,複素関数論,秋元,444
62,月3,前,2,n,化学2-A,寺島,K406
62,月4,前,2,n,プログラミングA,川端,231T・232T
62,水1,前,2,y,量子力学入門,阿部(智),444
62,水2,前,2,y,線形代数2,福元,K503
62,水3,前,2,n,物理実験学,石塚,444
62,月2,前,3,n,宇宙物理学A,幸村・鈴木(英),K306
62,月3,前,3,n,量子力学演習,川端・加藤(ち),K201・K202
62,月4,前,3,n,応用物性A,矢口,K503
62,月5,前,3,n,電磁気学3,鈴木(英),K503
62,火3,前,3,n,物性物理学A,田村,K101
62,水1,前,3,n,量子力学2,澤渡,K705
62,水2,前,3,n,放射線計測,作田,K703
62,水345,前,3,n,化学実験(18：55まで),中山・寺島・相見,化学実験室2
62,月2,前,5,n,場の量子論,阿部,K706
62,火2,前,5,n,理論物理学特論1,澤渡,7401
62,水1,前,5,n,宇宙物理学,鈴木(英),K508
62,水2,前,5,n,理論物理学特論2,秋元,7402
62,水3,前,5,n,非線形光学,須田,K403
62,水45,前,5,y,先端物理学輪講1A,PH専攻全教員,444
62,水45,前,6,y,物理学輪講2A,PH専攻全教員,444
62,月1,後,1,y,電磁気学A(2022),岡崎,445
62,月3,後,1,n,物理学特別講義1-B,PH科全教員,444
62,月4,後,1,y,電磁気学演習A,岡崎･佐藤(芳)・内田ほか,K307・K309・K310・K407・K408
62,月5,後,1,n,物理学特別講義1-B,PH科全教員,444
62,火1,後,1,y,ベクトル解析,阿部(智),K405
62,火3,後,1,y,ベクトル解析演習,阿部(智)・川端・佐藤(友)ほか,K403・K404・K608K609・K610
62,火5,後,1,n,コンピュータ演習,渡辺(隆),611T
62,水1,後,1,y,力学B,幸村,445
62,月2,後,2,y,電磁気学2-B,吉岡(伸),K503
62,月3,後,2,n,化学2-B,寺島,K301
62,月4,後,2,n,物理数学A,若松,K605
62,水1,後,2,n,物理数学B,齋藤,444
62,水2,後,2,y,量子力学1,福元,444
62,水3,後,2,y,熱力学,田村,444
62,月2,後,3,n,数値計算法,平井,K204
62,月3,後,3,n,統計力学演習,川端・森田,K201・K202
62,月4,後,3,n,原子核物理学A,阿部(智),K603
62,火1,後,3,n,数理統計学,柴田,K705
62,火3,後,3,n,相対論,澤渡,K605
62,水2,後,3,n,物性物理学B,半澤,K702
62,水3,後,3,n,量子力学3,半澤,K605
62,水4,後,3,n,物理学特別講義3－A,田村・堤・白川ほか,K301
62,水5,後,3,n,結晶学概論,國分,K503
62,月4,後,5,n,素粒子物理学,石塚,K609
62,火2,後,5,n,表面物理学,金井,K403
62,水1,後,5,n,低温物性,矢口,K507
62,水45,後,5,y,先端物理学輪講1B,PH専攻全教員,444
62,水45,後,6,y,物理学輪講2B,PH専攻全教員,444
62,木45,前,1,y,物理学実験1-A,須田・色川(勝)・伊藤(博),K505・物理実験室②、④、⑤、⑦～⑩
62,木12,前,2,y,物理学実験2-A1組,吉岡(伸)・三宅・内田ほか,K102
62,木45,前,2,y,物理学実験2-A2組,矢口・佐藤(光)・栗原ほか,K102
62,金1,前,2,y,振動と波動,矢口,444
62,金2,前,2,y,電磁気学2-A(~2021),秋元,K102・K102
62,木2,前,2,y,電磁気学演習A(~2021)2組,秋元・岡崎・森田ほか,K403・K609・K610
62,木4,前,2,y,電磁気学演習A(~2021)1組,吉岡(伸)・渡辺(隆)・森田,K705・K607・K608
62,木2,前,3,n,電子回路,川村(稔),K604
62,木3,前,3,n,統計力学入門,金井,K102
62,木4,前,3,n,地球物理学,三河内,K405
62,金1,前,3,n,物理計測,田村・石塚・幸村吉岡(伸),K606
62,金2,前,3,n,物理光学,須田,K504
62,金345,前,3,y,物理学実験3-A,田村・石塚・岡崎ほか,444
62,木2,前,1,n,統計物理学1,福元,7407
62,金1,前,1,n,固体物理学,岡崎,7404
62,木34,後,1,y,物理学実験1-B,須田・色川(勝)・伊藤(博),K305・K307・K308物理実験室②、④、⑤、⑦～⑩
62,金1,後,1,n,化学B,酒井(健),K503
62,金2,後,1,y,力学演習B,幸村･加藤(ち)･渡辺(隆)ほか,K308・K309・K310・K507・K508
62,木12,後,2,y,物理学実験2-B,1組,吉岡(伸)・三宅・内田ほか,K102
62,木34,後,2,y,物理学実験2-B,2組,矢口・佐藤(光)・栗原ほか,K102
62,木2,後,2,y,電磁気学演習B2組,秋元・栗原・森田ほか,K403・K609・K610
62,木4,後,2,y,電磁気学演習B1組,吉岡(伸)・渡辺(隆)・加藤(ち)ほか,K706･K501･K502
62,金1,後,2,y,解析力学,澤渡,K103
62,金2,後,2,n,プログラミングB,秋元,231T
62,金3,後,2,n,幾何・波動光学,吉岡(伸),K102
62,木1,後,3,n,連続体力学,鈴木(英),K201
62,木1,後,3,n,宇宙物理学B,幸村、鈴木(英),K405
62,木1,後,3,n,物性物理学C,金井・秋元・岡崎,K604
62,木1,後,3,n,統計力学1,福元,K504
